name,country,state,address,reg_no,product_codes,device_names,device_class,specialty,k_numbers,source
PRODUCTOS PARA EL CUIDADO DE LA SALUD,MX,MX,CARRETERA INTERNACIONAL KM. 6.5 NOGALES Sonora MX,9611590,EZL; FFG,Catheter; Retention Type; Balloon; Device; Urine Flow Rate Measuring; Non-Electrical; Disposable,2,"Gastroenterology, Urology",,openFDA
Ortho Solutions Sdn Bhd,MY,MY,"2821, Tingkat Perusahaan 5A Prai, Penang Pulau Pinang MY",3012755988,HTN; HWC; HRS; KRO; MBI; HTY; KTT; FZX,Washer; Bolt Nut; Screw; Fixation; Bone; Plate; Prosthesis; Knee; Femorotibial; Constrained; Cemented; Metal/Polymer; Fastener; Nondegradable; Soft Tissue; Pin; Smooth; Appliance; Nail/Blade/Plate Combination; Multiple Component; Guide; Surgical; Instrument,2; 1,"Orthopedic; General, Plastic Surgery",,openFDA
"Fujirebio Diagnostics, Inc.",US,PA,201 Great Valley Parkway Malvern PA US 19355,2521625,JIT; JJX; MOI; NBC; LTJ; OIU,Calibrator; Secondary; Single (Specified) Analyte Controls (Assayed And Unassayed); System; Test; Immunological; Antigen; Tumor; Natriuretic Peptide; Prostate-Specific Antigen (Psa) For Management Of Prostate Cancers; Epithelial Ovarian Tumor Associated Antigen (He4),2; 1,Clinical Chemistry; Immunology,,openFDA
CHEMIGRAPHIC LTD,GB,GB,"Unit A2 Fleming Centre, Fleming Way Crawley West Sussex GB",3004883754,GWQ; GWL,Full-Montage Standard Electroencephalograph; Amplifier; Physiological Signal,2,Neurology,,openFDA
ANDERSONBRECON INC.,US,IL,1129 18th Ave ROCKFORD IL US 61104,1450819,EEG,Heat Source For Bleaching Teeth,1,Dental,,openFDA
Dentsply Implants Manufacturing GmbH,DE,DE,Rodenbacher Chaussee 4 Hanau Hesse DE,3013111692,NHA,Abutment; Implant; Dental; Endosseous,2,Dental,,openFDA
"Changzhou Biomet Medical Devices Co., Ltd.",CN,CN,No. 235 Chuangxin Road Changzhou City Jiangsu CN,3007923096,KWQ; HRS,Appliance; Fixation; Spinal Intervertebral Body; Plate; Bone,2,Orthopedic,,openFDA
"CHENGDU LI  REN ELECTRIC CO., LTD",CN,CN,"1 Cheng Ji Road, Longtan Industrial Zone Chengdu Sichuan CN",3009518344,FNL,Bed; Ac-Powered Adjustable Hospital,2,General Hospital,,openFDA
"Viant Medical, LLC",US,IN,4545 Kroemer Rd Fort Wayne IN US 46818,3004976965,HXC; HWC; HSB; OLO; HWJ; JDC; JEB; HRS; GEN,Wrench; Screw; Fixation; Bone; Rod; Intramedullary And Accessories; Orthopedic Stereotaxic Instrument; Awl; Prosthesis; Elbow; Constrained; Cemented; Table; Surgical With Orthopedic Accessories; Manual; Plate; Forceps; General & Plastic Surgery,1; 2,"Orthopedic; Neurology; General, Plastic Surgery",,openFDA
METRIX DOMINICANA S.R.L.,DO,DO,"PARQUE INDUSTRIAL ITABO, S.A. (PIISA) HAINA San Cristobal DO",3004102635,KPE,Container; I.V.,2,General Hospital,,openFDA
"Zhenjiang Kawaza Medical Products Co.,Ltd.",CN,CN,"Shanbei Village, Xinfeng Town, Dantu District Zhenjiang City Jiangsu CN",3005720080,INB; ITJ,Attachment; Commode; Wheelchair; Walker; Mechanical,1,Physical Medicine,,openFDA
"priMED Jiujiang Medical Products Manufacturing Co., Ltd",CN,CN,"Xueren Chanye Park Bldg 15, Lutang Project Dist Xiushui Ind Pk, Jiujiang Jiangxi CN",3013260641,OEA,Non-Surgical Gown,1,"General, Plastic Surgery",,openFDA
SPECTRUM SOLUTIONS LLC,US,UT,12278 S Lone Peak Pkwy Ste 106 Draper UT US 84020,3012758946,QPD,Personal Lubricant Ring,2,Obstetrics/Gynecology,,openFDA
"AMEDCON MEDICAL TECHNOLOGY (SHENZHEN) CO., LTD.",CN,CN,"Unit 201, Block 4, Meitai Industrial Park, 1231 Guanguang Road, Shenzhen Guangdong CN",3008493350,EIX; NDP,Probe; Periodontic; Accessories; Implant; Dental; Endosseous,1,Dental,,openFDA
Syrma Johari MedTech Limited,IN,IN,"G-582-584, EPIP, Boranada Jodhpur Rajasthan IN",8040537,NYN,Stimulator; Electrical; Transcutaneous; For Arthritis,2,Neurology,,openFDA
CUSTOM TUBE MANUFACTURING LLC,KR,KR,"38-4, Hyeonseok-ro 733beon-gil Yangju-si Gyeonggi KR",3010966701,GDZ; GES; FHR,Handle; Scalpel; Blade; Needle; Gastro-Urology,1,"General, Plastic Surgery",,openFDA
"CORDICA MEDICAL, INC. (Formally TEAM Technologies, Inc.)",US,MA,50 Ward Hill Ave Haverhill MA US 01835,3004713654,LYU; KKX; KGN; FRO; CBH,Accessory; Surgical Apparel; Drape; Surgical; Antimicrobial; Wound Dressing With Animal-Derived Material(S); Dressing; Wound; Drug; Device; Fixation; Tracheal Tube,1; 2; U,"General, Plastic Surgery; Unknown; Anesthesiology",,openFDA
"ALLMED MEDICAL TEXTILE CO.,LTD (VIET NAM)",VN,VN,"Lot B1.1, Lot B1.2 and Lot B2.1, Phuoc Dong Industrial Park & Port, Hamlet 5 Tan Lan Commune Tay Ninh VN",3026536498,FYA; KXF,Gown; Surgical; Applicator; Absorbent Tipped; Non-Sterile,2; 1,"General, Plastic Surgery; General Hospital",,openFDA
Nypro Healthcare Baja Inc. (Torres),MX,MX,Avenida de Las Torres #7125 Ciudad Juarez Chihuahua MX,3015185328,OCW; GDW; GAG,Endoscopic Tissue Approximation Device; Staple; Implantable; Stapler; Surgical,2,"Gastroenterology, Urology; General, Plastic Surgery; General Hospital",,openFDA
NYOrtho,US,NY,63 Flushing Ave Brooklyn NY US 11205,3006336810,FNJ,Bed; Manual,1,General Hospital,,openFDA
"Shenzhen Heearly Technology Co.,Ltd.",CN,CN,"4th Fl, Bldg B, Yangfeng Intelligent Technology Park, Bao an District, Shenzhen Guangdong CN",3016458459,EQL; JEQ,Laryngostroboscope; Toothbrush; Powered,1,"Ear, Nose, Throat; Dental",,openFDA
"ANHUI MEDFAITH MEDICAL DEVICES CO., LTD.",CN,CN,"Zhijiao Avenue, Yongfeng Industrial Park Tianchang Anhui CN",3012821559,KXF,Applicator; Absorbent Tipped; Non-Sterile,1,General Hospital,,openFDA
"GEOTEC, INC.",US,RI,89 Bellows St Warwick RI US 02888,1222773,HMZ; MAX,Trabeculotome; Intervertebral Fusion Device With Bone Graft; Lumbar,1; 2,Ophthalmic; Orthopedic,,openFDA
LASER NOVA AB,SE,SE,Odenskogsvagen 1A Ostersund Jamtland SE,3006151021,PJY,Osseoanchored Prostheses For The Rehabilitation Of Transfemoral Amputees,3,Unknown,,openFDA
PACKROOM LLC,US,GA,1281 Highway 155 South Mc Donough GA US 30253,3008513424,OEQ,Angiography/Angioplasty Kit,2,Cardiovascular,,openFDA
SHEFFIELD PRECISION MEDICAL LTD,GB,GB,Unit 1 Wylcut-House Sheffield GB,3009871135,MBV; JWH; HWT; OLO,Prosthesis; Knee; Patello/Femorotibial; Semi-Constrained; Uhmwpe; Pegged; Cemented; Polymer/Metal/Polymer; Patellofemorotibial; Template; Orthopedic Stereotaxic Instrument,2; 1,Orthopedic; Neurology,,openFDA
GLASER AG,DE,DE,GAENSAECKER 46 TUTTLINGEN Baden-Wurttemberg DE,9681147,LXH,Orthopedic Manual Surgical Instrument,1,Orthopedic,,openFDA
KARL STORZ VIDEO ENDOSCOPY ESTONIA OUE,EE,EE,Parnu mnt 556b Laagri Harjumaa EE,3004644065,FGB; GCT; EOB,Ureteroscope And Accessories; Flexible/Rigid; Light Source; Endoscope; Xenon Arc; Nasopharyngoscope (Flexible Or Rigid),2,"Gastroenterology, Urology; Ear, Nose, Throat",,openFDA
"JIANGSU HUADONG MEDICAL DEVICE INDUSTRY CO., LTD.",CN,CN,"No. 88, TONGDA RD, TOUQIAO TOWN YANGZHOU CITY, Jiangsu CN",3006554788,LRP; KDC; HFW,Tray; Surgical; Instrument; Disposable; Clamp; Umbilical,1; 2,"General, Plastic Surgery; Obstetrics/Gynecology",,openFDA
"XIAMEN ATYOU HEALTH TECHNOLOGY CO., LTD.",CN,CN,"No. 1-A, Kechuang Center, No. 289 Wengjiao Road Xiamen Fujian CN",3017221757,FLG,Cleaner; Ultrasonic; Medical Instrument,1,General Hospital,,openFDA
